exp_subject_id,scram_cond,stim_num,run,time,response
377648,2B,1,2,78,0
377648,2B,1,2,79,0
377648,2B,1,2,80,0
377648,2B,1,2,81,0
377648,2B,1,2,82,0
377648,2B,1,2,83,0
377648,2B,1,2,84,0
377648,2B,1,2,85,0
377648,2B,2,1,0,0
377648,2B,2,1,1,0
377648,2B,2,1,2,0
377648,2B,2,1,3,0
377648,2B,2,1,4,0
377648,2B,2,1,5,0
377648,2B,2,1,6,0
377648,2B,2,1,7,0
377648,2B,2,1,8,1
377648,2B,2,1,9,0
377648,2B,2,1,10,0
377648,2B,2,1,11,0
377648,2B,2,1,12,0
377648,2B,2,1,13,0
377648,2B,2,1,14,0
377648,2B,2,1,15,0
377648,2B,2,1,16,0
377648,2B,2,1,17,0
377648,2B,2,1,18,0
377648,2B,2,1,19,0
377648,2B,2,1,20,0
377648,2B,2,1,21,0
377648,2B,2,1,22,0
377648,2B,2,1,23,0
377648,2B,2,1,24,0
377648,2B,2,1,25,0
377648,2B,2,1,26,0
377648,2B,2,1,27,1
377648,2B,2,1,28,0
377648,2B,2,1,29,0
377648,2B,2,1,30,0
377648,2B,2,1,31,0
377648,2B,2,1,32,0
377648,2B,2,1,33,0
377648,2B,2,1,34,0
377648,2B,2,1,35,0
377648,2B,2,1,36,0
377648,2B,2,1,37,0
377648,2B,2,1,38,0
377648,2B,2,1,39,1
377648,2B,2,1,40,0
377648,2B,2,1,41,0
377648,2B,2,1,42,0
377648,2B,2,1,43,0
377648,2B,2,1,44,0
377648,2B,2,1,45,0
377648,2B,2,1,46,0
377648,2B,2,1,47,0
377648,2B,2,1,48,0
377648,2B,2,1,49,0
377648,2B,2,1,50,0
377648,2B,2,1,51,1
377648,2B,2,1,52,0
377648,2B,2,1,53,0
377648,2B,2,1,54,0
377648,2B,2,1,55,0
377648,2B,2,1,56,0
377648,2B,2,1,57,0
377648,2B,2,1,58,0
377648,2B,2,1,59,0
377648,2B,2,1,60,0
377648,2B,2,1,61,0
377648,2B,2,1,62,0
377648,2B,2,1,63,0
377648,2B,2,1,64,0
377648,2B,2,1,65,1
377648,2B,2,1,66,0
377648,2B,2,1,67,0
377648,2B,2,1,68,0
377648,2B,2,1,69,0
377648,2B,2,1,70,0
377648,2B,2,1,71,0
377648,2B,2,1,72,0
377648,2B,2,1,73,0
377648,2B,2,1,74,0
377648,2B,2,1,75,0
377648,2B,2,1,76,0
377648,2B,2,1,77,0
377648,2B,2,1,78,0
377648,2B,2,1,79,0
377648,2B,2,1,80,0
377648,2B,2,1,81,0
377648,2B,2,1,82,0
377648,2B,2,1,83,0
377648,2B,2,1,84,0
377648,2B,2,1,85,0
377648,2B,2,2,0,0
377648,2B,2,2,1,0
377648,2B,2,2,2,0
377648,2B,2,2,3,0
377648,2B,2,2,4,0
377648,2B,2,2,5,0
377648,2B,2,2,6,0
377648,2B,2,2,7,0
377648,2B,2,2,8,0
377648,2B,2,2,9,1
377648,2B,2,2,10,0
377648,2B,2,2,11,0
377648,2B,2,2,12,0
377648,2B,2,2,13,0
377648,2B,2,2,14,0
377648,2B,2,2,15,0
377648,2B,2,2,16,0
377648,2B,2,2,17,0
377648,2B,2,2,18,0
377648,2B,2,2,19,0
377648,2B,2,2,20,0
377648,2B,2,2,21,0
377648,2B,2,2,22,0
377648,2B,2,2,23,0
377648,2B,2,2,24,0
377648,2B,2,2,25,0
377648,2B,2,2,26,0
377648,2B,2,2,27,0
377648,2B,2,2,28,0
377648,2B,2,2,29,0
377648,2B,2,2,30,0
377648,2B,2,2,31,0
377648,2B,2,2,32,0
377648,2B,2,2,33,0
377648,2B,2,2,34,0
377648,2B,2,2,35,0
377648,2B,2,2,36,0
377648,2B,2,2,37,0
377648,2B,2,2,38,0
377648,2B,2,2,39,0
377648,2B,2,2,40,0
377648,2B,2,2,41,0
377648,2B,2,2,42,0
377648,2B,2,2,43,0
377648,2B,2,2,44,0
377648,2B,2,2,45,0
377648,2B,2,2,46,0
377648,2B,2,2,47,0
377648,2B,2,2,48,0
377648,2B,2,2,49,0
377648,2B,2,2,50,0
377648,2B,2,2,51,1
377648,2B,2,2,52,0
377648,2B,2,2,53,0
377648,2B,2,2,54,0
377648,2B,2,2,55,0
377648,2B,2,2,56,0
377648,2B,2,2,57,0
377648,2B,2,2,58,0
377648,2B,2,2,59,0
377648,2B,2,2,60,0
377648,2B,2,2,61,0
377648,2B,2,2,62,0
377648,2B,2,2,63,0
377648,2B,2,2,64,0
377648,2B,2,2,65,1
377648,2B,2,2,66,0
377648,2B,2,2,67,0
377648,2B,2,2,68,0
377648,2B,2,2,69,0
377648,2B,2,2,70,0
377648,2B,2,2,71,0
377648,2B,2,2,72,0
377648,2B,2,2,73,0
377648,2B,2,2,74,0
377648,2B,2,2,75,0
377648,2B,2,2,76,0
377648,2B,2,2,77,0
377648,2B,2,2,78,0
377648,2B,2,2,79,0
377648,2B,2,2,80,0
377648,2B,2,2,81,0
377648,2B,2,2,82,0
377648,2B,2,2,83,0
377648,2B,2,2,84,0
377648,2B,2,2,85,0
377648,1B,3,1,0,0
377648,1B,3,1,1,0
377648,1B,3,1,2,0
377648,1B,3,1,3,0
377648,1B,3,1,4,0
377648,1B,3,1,5,1
377648,1B,3,1,6,0
377648,1B,3,1,7,0
377648,1B,3,1,8,0
377648,1B,3,1,9,0
377648,1B,3,1,10,0
377648,1B,3,1,11,1
377648,1B,3,1,12,0
377648,1B,3,1,13,0
377648,1B,3,1,14,0
377648,1B,3,1,15,0
377648,1B,3,1,16,0
377648,1B,3,1,17,0
377648,1B,3,1,18,0
377648,1B,3,1,19,0
377648,1B,3,1,20,0
377648,1B,3,1,21,0
377648,1B,3,1,22,0
377648,1B,3,1,23,0
377648,1B,3,1,24,0
377648,1B,3,1,25,0
377648,1B,3,1,26,0
377648,1B,3,1,27,0
377648,1B,3,1,28,0
377648,1B,3,1,29,0
377648,1B,3,1,30,0
377648,1B,3,1,31,0
377648,1B,3,1,32,0
377648,1B,3,1,33,0
377648,1B,3,1,34,0
377648,1B,3,1,35,0
377648,1B,3,1,36,0
377648,1B,3,1,37,0
377648,1B,3,1,38,0
377648,1B,3,1,39,0
377648,1B,3,1,40,0
377648,1B,3,1,41,0
377648,1B,3,1,42,0
377648,1B,3,1,43,0
377648,1B,3,1,44,0
377648,1B,3,1,45,0
377648,1B,3,1,46,0
377648,1B,3,1,47,0
377648,1B,3,1,48,0
377648,1B,3,1,49,0
377648,1B,3,1,50,0
377648,1B,3,1,51,0
377648,1B,3,1,52,0
377648,1B,3,1,53,0
377648,1B,3,1,54,0
377648,1B,3,1,55,0
377648,1B,3,1,56,0
377648,1B,3,1,57,0
377648,1B,3,1,58,0
377648,1B,3,1,59,0
377648,1B,3,1,60,0
377648,1B,3,1,61,0
377648,1B,3,1,62,1
377648,1B,3,1,63,0
377648,1B,3,1,64,0
377648,1B,3,1,65,0
377648,1B,3,1,66,0
377648,1B,3,1,67,0
377648,1B,3,1,68,0
377648,1B,3,1,69,0
377648,1B,3,1,70,1
377648,1B,3,1,71,0
377648,1B,3,1,72,0
377648,1B,3,1,73,0
377648,1B,3,1,74,0
377648,1B,3,1,75,0
377648,1B,3,1,76,0
377648,1B,3,1,77,0
377648,1B,3,1,78,0
377648,1B,3,1,79,0
377648,1B,3,1,80,0
377648,1B,3,1,81,0
377648,1B,3,1,82,0
377648,1B,3,1,83,0
377648,1B,3,1,84,0
377648,1B,3,1,85,0
377648,1B,3,2,0,0
377648,1B,3,2,1,0
377648,1B,3,2,2,0
377648,1B,3,2,3,0
377648,1B,3,2,4,0
377648,1B,3,2,5,0
377648,1B,3,2,6,1
377648,1B,3,2,7,0
377648,1B,3,2,8,0
377648,1B,3,2,9,0
377648,1B,3,2,10,0
377648,1B,3,2,11,1
377648,1B,3,2,12,0
377648,1B,3,2,13,0
377648,1B,3,2,14,0
377648,1B,3,2,15,0
377648,1B,3,2,16,0
377648,1B,3,2,17,0
377648,1B,3,2,18,0
377648,1B,3,2,19,0
377648,1B,3,2,20,0
377648,1B,3,2,21,0
377648,1B,3,2,22,0
377648,1B,3,2,23,0
377648,1B,3,2,24,0
377648,1B,3,2,25,1
377648,1B,3,2,26,0
377648,1B,3,2,27,0
377648,1B,3,2,28,0
377648,1B,3,2,29,0
377648,1B,3,2,30,0
377648,1B,3,2,31,0
377648,1B,3,2,32,0
377648,1B,3,2,33,0
377648,1B,3,2,34,0
377648,1B,3,2,35,0
377648,1B,3,2,36,1
377648,1B,3,2,37,0
377648,1B,3,2,38,0
377648,1B,3,2,39,0
377648,1B,3,2,40,0
377648,1B,3,2,41,0
377648,1B,3,2,42,0
377648,1B,3,2,43,0
377648,1B,3,2,44,0
377648,1B,3,2,45,0
377648,1B,3,2,46,0
377648,1B,3,2,47,0
377648,1B,3,2,48,0
377648,1B,3,2,49,0
377648,1B,3,2,50,0
377648,1B,3,2,51,1
377648,1B,3,2,52,0
377648,1B,3,2,53,0
377648,1B,3,2,54,0
377648,1B,3,2,55,0
377648,1B,3,2,56,0
377648,1B,3,2,57,0
377648,1B,3,2,58,0
377648,1B,3,2,59,0
377648,1B,3,2,60,0
377648,1B,3,2,61,0
377648,1B,3,2,62,0
377648,1B,3,2,63,0
377648,1B,3,2,64,0
377648,1B,3,2,65,0
377648,1B,3,2,66,0
377648,1B,3,2,67,0
377648,1B,3,2,68,0
377648,1B,3,2,69,0
377648,1B,3,2,70,1
377648,1B,3,2,71,0
377648,1B,3,2,72,0
377648,1B,3,2,73,0
377648,1B,3,2,74,0
377648,1B,3,2,75,0
377648,1B,3,2,76,0
377648,1B,3,2,77,0
377648,1B,3,2,78,0
377648,1B,3,2,79,0
377648,1B,3,2,80,0
377648,1B,3,2,81,0
377648,1B,3,2,82,0
377648,1B,3,2,83,0
377648,1B,3,2,84,0
377648,1B,3,2,85,0
377648,8B,1,1,0,0
377648,8B,1,1,1,0
377648,8B,1,1,2,0
377648,8B,1,1,3,0
377648,8B,1,1,4,0
377648,8B,1,1,5,0
377648,8B,1,1,6,0
377648,8B,1,1,7,0
377648,8B,1,1,8,0
377648,8B,1,1,9,0
377648,8B,1,1,10,0
377648,8B,1,1,11,0
377648,8B,1,1,12,0
377648,8B,1,1,13,0
377648,8B,1,1,14,0
377648,8B,1,1,15,0
377648,8B,1,1,16,0
377648,8B,1,1,17,0
377648,8B,1,1,18,0
377648,8B,1,1,19,1
377648,8B,1,1,20,0
377648,8B,1,1,21,0
377648,8B,1,1,22,0
377648,8B,1,1,23,0
377648,8B,1,1,24,0
377648,8B,1,1,25,0
377648,8B,1,1,26,0
377648,8B,1,1,27,0
377648,8B,1,1,28,0
377648,8B,1,1,29,0
377648,8B,1,1,30,0
377648,8B,1,1,31,0
377648,8B,1,1,32,0
377648,8B,1,1,33,0
377648,8B,1,1,34,0
377648,8B,1,1,35,0
377648,8B,1,1,36,0
377648,8B,1,1,37,1
377648,8B,1,1,38,0
377648,8B,1,1,39,0
377648,8B,1,1,40,0
377648,8B,1,1,41,0
377648,8B,1,1,42,0
377648,8B,1,1,43,0
377648,8B,1,1,44,0
377648,8B,1,1,45,0
377648,8B,1,1,46,0
377648,8B,1,1,47,0
377648,8B,1,1,48,0
377648,8B,1,1,49,0
377648,8B,1,1,50,0
377648,8B,1,1,51,0
377648,8B,1,1,52,0
377648,8B,1,1,53,0
377648,8B,1,1,54,1
377648,8B,1,1,55,0
377648,8B,1,1,56,0
377648,8B,1,1,57,0
377648,8B,1,1,58,0
377648,8B,1,1,59,0
377648,8B,1,1,60,0
377648,8B,1,1,61,0
377648,8B,1,1,62,0
377648,8B,1,1,63,0
377648,8B,1,1,64,0
377648,8B,1,1,65,0
377648,8B,1,1,66,0
377648,8B,1,1,67,0
377648,8B,1,1,68,1
377648,8B,1,1,69,0
377648,8B,1,1,70,0
377648,8B,1,1,71,0
377648,8B,1,1,72,0
377648,8B,1,1,73,0
377648,8B,1,1,74,0
377648,8B,1,1,75,0
377648,8B,1,1,76,0
377648,8B,1,1,77,0
377648,8B,1,1,78,0
377648,8B,1,1,79,0
377648,8B,1,1,80,0
377648,8B,1,1,81,0
377648,8B,1,1,82,0
377648,8B,1,1,83,0
377648,8B,1,1,84,0
377648,8B,1,1,85,0
377648,8B,1,2,0,0
377648,8B,1,2,1,0
377648,8B,1,2,2,0
377648,8B,1,2,3,0
377648,8B,1,2,4,0
377648,8B,1,2,5,0
377648,8B,1,2,6,0
377648,8B,1,2,7,0
377648,8B,1,2,8,0
377648,8B,1,2,9,0
377648,8B,1,2,10,0
377648,8B,1,2,11,0
377648,8B,1,2,12,0
377648,8B,1,2,13,0
377648,8B,1,2,14,0
377648,8B,1,2,15,0
377648,8B,1,2,16,0
377648,8B,1,2,17,0
377648,8B,1,2,18,0
377648,8B,1,2,19,1
377648,8B,1,2,20,0
377648,8B,1,2,21,0
377648,8B,1,2,22,0
377648,8B,1,2,23,0
377648,8B,1,2,24,0
377648,8B,1,2,25,0
377648,8B,1,2,26,0
377648,8B,1,2,27,0
377648,8B,1,2,28,0
377648,8B,1,2,29,0
377648,8B,1,2,30,0
377648,8B,1,2,31,0
377648,8B,1,2,32,0
377648,8B,1,2,33,0
377648,8B,1,2,34,0
377648,8B,1,2,35,0
377648,8B,1,2,36,0
377648,8B,1,2,37,0
377648,8B,1,2,38,0
377648,8B,1,2,39,0
377648,8B,1,2,40,0
377648,8B,1,2,41,0
377648,8B,1,2,42,0
377648,8B,1,2,43,0
377648,8B,1,2,44,0
377648,8B,1,2,45,0
377648,8B,1,2,46,0
377648,8B,1,2,47,0
377648,8B,1,2,48,0
377648,8B,1,2,49,0
377648,8B,1,2,50,0
377648,8B,1,2,51,0
377648,8B,1,2,52,0
377648,8B,1,2,53,0
377648,8B,1,2,54,0
377648,8B,1,2,55,1
377648,8B,1,2,56,0
377648,8B,1,2,57,0
377648,8B,1,2,58,0
377648,8B,1,2,59,0
377648,8B,1,2,60,0
377648,8B,1,2,61,0
377648,8B,1,2,62,0
377648,8B,1,2,63,0
377648,8B,1,2,64,0
377648,8B,1,2,65,0
377648,8B,1,2,66,0
377648,8B,1,2,67,0
377648,8B,1,2,68,1
377648,8B,1,2,69,0
377648,8B,1,2,70,0
377648,8B,1,2,71,0
377648,8B,1,2,72,0
377648,8B,1,2,73,0
377648,8B,1,2,74,0
377648,8B,1,2,75,0
377648,8B,1,2,76,0
377648,8B,1,2,77,0
377648,8B,1,2,78,0
377648,8B,1,2,79,0
377648,8B,1,2,80,0
377648,8B,1,2,81,0
377648,8B,1,2,82,0
377648,8B,1,2,83,0
377648,8B,1,2,84,0
377648,8B,1,2,85,0
377648,1B,1,1,0,0
377648,1B,1,1,1,0
377648,1B,1,1,2,0
377648,1B,1,1,3,1
377648,1B,1,1,4,0
377648,1B,1,1,5,0
377648,1B,1,1,6,1
377648,1B,1,1,7,0
377648,1B,1,1,8,0
377648,1B,1,1,9,0
377648,1B,1,1,10,0
377648,1B,1,1,11,0
377648,1B,1,1,12,0
377648,1B,1,1,13,0
377648,1B,1,1,14,0
377648,1B,1,1,15,0
377648,1B,1,1,16,1
377648,1B,1,1,17,0
377648,1B,1,1,18,0
377648,1B,1,1,19,0
377648,1B,1,1,20,0
377648,1B,1,1,21,0
377648,1B,1,1,22,1
377648,1B,1,1,23,0
377648,1B,1,1,24,0
377648,1B,1,1,25,0
377648,1B,1,1,26,0
377648,1B,1,1,27,0
377648,1B,1,1,28,0
377648,1B,1,1,29,0
377648,1B,1,1,30,0
377648,1B,1,1,31,0
377648,1B,1,1,32,0
377648,1B,1,1,33,1
377648,1B,1,1,34,0
377648,1B,1,1,35,0
377648,1B,1,1,36,0
377648,1B,1,1,37,0
377648,1B,1,1,38,0
377648,1B,1,1,39,0
377648,1B,1,1,40,0
377648,1B,1,1,41,0
377648,1B,1,1,42,0
377648,1B,1,1,43,1
377648,1B,1,1,44,0
377648,1B,1,1,45,0
377648,1B,1,1,46,0
377648,1B,1,1,47,0
377648,1B,1,1,48,1
377648,1B,1,1,49,0
377648,1B,1,1,50,0
377648,1B,1,1,51,0
377648,1B,1,1,52,0
377648,1B,1,1,53,0
377648,1B,1,1,54,0
377648,1B,1,1,55,0
377648,1B,1,1,56,0
377648,1B,1,1,57,0
377648,1B,1,1,58,0
377648,1B,1,1,59,0
377648,1B,1,1,60,0
377648,1B,1,1,61,0
377648,1B,1,1,62,0
377648,1B,1,1,63,0
377648,1B,1,1,64,0
377648,1B,1,1,65,0
377648,1B,1,1,66,0
377648,1B,1,1,67,0
377648,1B,1,1,68,0
377648,1B,1,1,69,0
377648,1B,1,1,70,0
377648,1B,1,1,71,0
377648,1B,1,1,72,0
377648,1B,1,1,73,0
377648,1B,1,1,74,0
377648,1B,1,1,75,0
377648,1B,1,1,76,0
377648,1B,1,1,77,1
377648,1B,1,1,78,0
377648,1B,1,1,79,0
377648,1B,1,1,80,0
377648,1B,1,1,81,0
377648,1B,1,1,82,0
377648,1B,1,1,83,0
377648,1B,1,1,84,0
377648,1B,1,1,85,0
377648,1B,1,2,0,0
377648,1B,1,2,1,0
377648,1B,1,2,2,0
377648,1B,1,2,3,1
377648,1B,1,2,4,0
377648,1B,1,2,5,0
377648,1B,1,2,6,1
377648,1B,1,2,7,0
377648,1B,1,2,8,0
377648,1B,1,2,9,0
377648,1B,1,2,10,0
377648,1B,1,2,11,0
377648,1B,1,2,12,0
377648,1B,1,2,13,0
377648,1B,1,2,14,0
377648,1B,1,2,15,0
377648,1B,1,2,16,1
377648,1B,1,2,17,0
377648,1B,1,2,18,0
377648,1B,1,2,19,0
377648,1B,1,2,20,0
377648,1B,1,2,21,0
377648,1B,1,2,22,1
377648,1B,1,2,23,0
377648,1B,1,2,24,0
377648,1B,1,2,25,0
377648,1B,1,2,26,0
377648,1B,1,2,27,0
377648,1B,1,2,28,0
377648,1B,1,2,29,0
377648,1B,1,2,30,0
377648,1B,1,2,31,0
377648,1B,1,2,32,0
377648,1B,1,2,33,1
377648,1B,1,2,34,0
377648,1B,1,2,35,0
377648,1B,1,2,36,0
377648,1B,1,2,37,0
377648,1B,1,2,38,0
377648,1B,1,2,39,0
377648,1B,1,2,40,0
377648,1B,1,2,41,1
377648,1B,1,2,42,0
377648,1B,1,2,43,0
377648,1B,1,2,44,0
377648,1B,1,2,45,0
377648,1B,1,2,46,0
377648,1B,1,2,47,0
377648,1B,1,2,48,0
377648,1B,1,2,49,0
377648,1B,1,2,50,0
377648,1B,1,2,51,0
377648,1B,1,2,52,0
377648,1B,1,2,53,0
377648,1B,1,2,54,0
377648,1B,1,2,55,0
377648,1B,1,2,56,0
377648,1B,1,2,57,0
377648,1B,1,2,58,1
377648,1B,1,2,59,0
377648,1B,1,2,60,0
377648,1B,1,2,61,0
377648,1B,1,2,62,0
377648,1B,1,2,63,0
377648,1B,1,2,64,0
377648,1B,1,2,65,0
377648,1B,1,2,66,0
377648,1B,1,2,67,0
377648,1B,1,2,68,0
377648,1B,1,2,69,0
377648,1B,1,2,70,0
377648,1B,1,2,71,0
377648,1B,1,2,72,0
377648,1B,1,2,73,0
377648,1B,1,2,74,0
377648,1B,1,2,75,1
377648,1B,1,2,76,0
377648,1B,1,2,77,0
377648,1B,1,2,78,0
377648,1B,1,2,79,0
377648,1B,1,2,80,0
377648,1B,1,2,81,0
377648,1B,1,2,82,0
377648,1B,1,2,83,0
377648,1B,1,2,84,0
377648,1B,1,2,85,0
377648,2B,3,1,0,0
377648,2B,3,1,1,0
377648,2B,3,1,2,0
377648,2B,3,1,3,0
377648,2B,3,1,4,0
377648,2B,3,1,5,0
377648,2B,3,1,6,1
377648,2B,3,1,7,0
377648,2B,3,1,8,0
377648,2B,3,1,9,0
377648,2B,3,1,10,0
377648,2B,3,1,11,1
377648,2B,3,1,12,0
377648,2B,3,1,13,0
377648,2B,3,1,14,0
377648,2B,3,1,15,0
377648,2B,3,1,16,0
377648,2B,3,1,17,1
377648,2B,3,1,18,0
377648,2B,3,1,19,0
377648,2B,3,1,20,0
377648,2B,3,1,21,1
377648,2B,3,1,22,0
377648,2B,3,1,23,0
377648,2B,3,1,24,0
377648,2B,3,1,25,0
377648,2B,3,1,26,0
377648,2B,3,1,27,1
377648,2B,3,1,28,0
377648,2B,3,1,29,0
377648,2B,3,1,30,0
377648,2B,3,1,31,0
377648,2B,3,1,32,0
377648,2B,3,1,33,0
377648,2B,3,1,34,0
377648,2B,3,1,35,0
377648,2B,3,1,36,0
377648,2B,3,1,37,0
377648,2B,3,1,38,1
377648,2B,3,1,39,0
377648,2B,3,1,40,0
377648,2B,3,1,41,0
377648,2B,3,1,42,0
377648,2B,3,1,43,1
377648,2B,3,1,44,0
377648,2B,3,1,45,0
377648,2B,3,1,46,0
377648,2B,3,1,47,0
377648,2B,3,1,48,0
377648,2B,3,1,49,0
377648,2B,3,1,50,0
377648,2B,3,1,51,0
377648,2B,3,1,52,0
377648,2B,3,1,53,1
377648,2B,3,1,54,0
377648,2B,3,1,55,0
377648,2B,3,1,56,0
377648,2B,3,1,57,1
377648,2B,3,1,58,0
377648,2B,3,1,59,0
377648,2B,3,1,60,0
377648,2B,3,1,61,0
377648,2B,3,1,62,0
377648,2B,3,1,63,1
377648,2B,3,1,64,0
377648,2B,3,1,65,0
377648,2B,3,1,66,0
377648,2B,3,1,67,0
377648,2B,3,1,68,0
377648,2B,3,1,69,0
377648,2B,3,1,70,0
377648,2B,3,1,71,0
377648,2B,3,1,72,0
377648,2B,3,1,73,0
377648,2B,3,1,74,0
377648,2B,3,1,75,0
377648,2B,3,1,76,0
377648,2B,3,1,77,0
377648,2B,3,1,78,0
377648,2B,3,1,79,0
377648,2B,3,1,80,0
377648,2B,3,1,81,0
377648,2B,3,1,82,0
377648,2B,3,1,83,0
377648,2B,3,1,84,0
377648,2B,3,1,85,0
377648,2B,3,2,0,0
377648,2B,3,2,1,0
377648,2B,3,2,2,0
377648,2B,3,2,3,0
377648,2B,3,2,4,0
377648,2B,3,2,5,0
377648,2B,3,2,6,0
377648,2B,3,2,7,0
377648,2B,3,2,8,0
377648,2B,3,2,9,1
377648,2B,3,2,10,0
377648,2B,3,2,11,0
377648,2B,3,2,12,0
377648,2B,3,2,13,0
377648,2B,3,2,14,0
377648,2B,3,2,15,1
377648,2B,3,2,16,0
377648,2B,3,2,17,0
377648,2B,3,2,18,0
377648,2B,3,2,19,0
377648,2B,3,2,20,1
377648,2B,3,2,21,0
377648,2B,3,2,22,0
377648,2B,3,2,23,0
377648,2B,3,2,24,0
377648,2B,3,2,25,0
377648,2B,3,2,26,1
377648,2B,3,2,27,0
377648,2B,3,2,28,0
377648,2B,3,2,29,0
377648,2B,3,2,30,0
377648,2B,3,2,31,0
377648,2B,3,2,32,0
377648,2B,3,2,33,0
377648,2B,3,2,34,1
377648,2B,3,2,35,0
377648,2B,3,2,36,0
377648,2B,3,2,37,0
377648,2B,3,2,38,1
377648,2B,3,2,39,0
377648,2B,3,2,40,0
377648,2B,3,2,41,1
377648,2B,3,2,42,0
377648,2B,3,2,43,0
377648,2B,3,2,44,0
377648,2B,3,2,45,1
377648,2B,3,2,46,0
377648,2B,3,2,47,0
377648,2B,3,2,48,0
377648,2B,3,2,49,0
377648,2B,3,2,50,0
377648,2B,3,2,51,0
377648,2B,3,2,52,0
377648,2B,3,2,53,1
377648,2B,3,2,54,0
377648,2B,3,2,55,0
377648,2B,3,2,56,0
377648,2B,3,2,57,1
377648,2B,3,2,58,0
377648,2B,3,2,59,0
377648,2B,3,2,60,0
377648,2B,3,2,61,0
377648,2B,3,2,62,0
377648,2B,3,2,63,1
377648,2B,3,2,64,0
377648,2B,3,2,65,0
377648,2B,3,2,66,0
377648,2B,3,2,67,0
377648,2B,3,2,68,0
377648,2B,3,2,69,0
377648,2B,3,2,70,0
377648,2B,3,2,71,0
377648,2B,3,2,72,0
377648,2B,3,2,73,0
377648,2B,3,2,74,0
377648,2B,3,2,75,0
377648,2B,3,2,76,0
377648,2B,3,2,77,0
377648,2B,3,2,78,0
377648,2B,3,2,79,0
377648,2B,3,2,80,0
377648,2B,3,2,81,0
377648,2B,3,2,82,0
377648,2B,3,2,83,0
377648,2B,3,2,84,0
377648,2B,3,2,85,0
377648,intact,1,1,0,0
377648,intact,1,1,1,0
377648,intact,1,1,2,0
377648,intact,1,1,3,0
377648,intact,1,1,4,0
377648,intact,1,1,5,0
377648,intact,1,1,6,0
377648,intact,1,1,7,0
377648,intact,1,1,8,0
377648,intact,1,1,9,0
377648,intact,1,1,10,0
377648,intact,1,1,11,0
377648,intact,1,1,12,0
377648,intact,1,1,13,0
377648,intact,1,1,14,0
377648,intact,1,1,15,0
377648,intact,1,1,16,0
377648,intact,1,1,17,0
377648,intact,1,1,18,0
377648,intact,1,1,19,0
377648,intact,1,1,20,0
377648,intact,1,1,21,0
377648,intact,1,1,22,0
377648,intact,1,1,23,0
377648,intact,1,1,24,0
377648,intact,1,1,25,0
377648,intact,1,1,26,0
377648,intact,1,1,27,0
377648,intact,1,1,28,0
377648,intact,1,1,29,0
377648,intact,1,1,30,0
377648,intact,1,1,31,0
377648,intact,1,1,32,0
377648,intact,1,1,33,0
377648,intact,1,1,34,1
377648,intact,1,1,35,0
377648,intact,1,1,36,0
377648,intact,1,1,37,0
377648,intact,1,1,38,0
377648,intact,1,1,39,0
377648,intact,1,1,40,0
377648,intact,1,1,41,0
377648,intact,1,1,42,0
377648,intact,1,1,43,0
377648,intact,1,1,44,0
377648,intact,1,1,45,0
377648,intact,1,1,46,0
377648,intact,1,1,47,0
377648,intact,1,1,48,0
377648,intact,1,1,49,0
377648,intact,1,1,50,0
377648,intact,1,1,51,0
377648,intact,1,1,52,0
377648,intact,1,1,53,0
377648,intact,1,1,54,0
377648,intact,1,1,55,0
377648,intact,1,1,56,0
377648,intact,1,1,57,0
377648,intact,1,1,58,0
377648,intact,1,1,59,0
377648,intact,1,1,60,0
377648,intact,1,1,61,0
377648,intact,1,1,62,0
377648,intact,1,1,63,0
377648,intact,1,1,64,0
377648,intact,1,1,65,0
377648,intact,1,1,66,1
377648,intact,1,1,67,0
377648,intact,1,1,68,0
377648,intact,1,1,69,0
377648,intact,1,1,70,0
377648,intact,1,1,71,0
377648,intact,1,1,72,0
377648,intact,1,1,73,0
377648,intact,1,1,74,0
377648,intact,1,1,75,0
377648,intact,1,1,76,0
377648,intact,1,1,77,0
377648,intact,1,1,78,0
377648,intact,1,1,79,0
377648,intact,1,1,80,0
377648,intact,1,1,81,0
377648,intact,1,1,82,0
377648,intact,1,1,83,0
377648,intact,1,1,84,0
377648,intact,1,1,85,0
377648,intact,1,2,0,0
377648,intact,1,2,1,0
377648,intact,1,2,2,0
377648,intact,1,2,3,0
377648,intact,1,2,4,0
377648,intact,1,2,5,0
377648,intact,1,2,6,0
377648,intact,1,2,7,0
377648,intact,1,2,8,0
377648,intact,1,2,9,0
377648,intact,1,2,10,0
377648,intact,1,2,11,0
377648,intact,1,2,12,0
377648,intact,1,2,13,0
377648,intact,1,2,14,0
377648,intact,1,2,15,0
377648,intact,1,2,16,0
377648,intact,1,2,17,0
377648,intact,1,2,18,0
377648,intact,1,2,19,0
377648,intact,1,2,20,0
377648,intact,1,2,21,0
377648,intact,1,2,22,0
377648,intact,1,2,23,0
377648,intact,1,2,24,0
377648,intact,1,2,25,0
377648,intact,1,2,26,0
377648,intact,1,2,27,0
377648,intact,1,2,28,0
377648,intact,1,2,29,0
377648,intact,1,2,30,0
377648,intact,1,2,31,0
377648,intact,1,2,32,0
377648,intact,1,2,33,0
377648,intact,1,2,34,0
377648,intact,1,2,35,1
377648,intact,1,2,36,0
377648,intact,1,2,37,0
377648,intact,1,2,38,0
377648,intact,1,2,39,0
377648,intact,1,2,40,0
377648,intact,1,2,41,0
377648,intact,1,2,42,0
377648,intact,1,2,43,0
